"%sInvoice payment terms%s","%sRechnungsbedingungen%s"
"%sInvoice payment terms%s","%sRechnungsbedingungen%s"
"Card number","Kartennummer"
"Expiration","Ablaufdatum"
"Select a month","Wählen Sie einen Monat aus"
"Month","Monat"
"01 - January","01 - Januar"
"02 - February","02 - Februar"
"03 - March","03 - März"
"04 - April","04 - April"
"05 - May","05 - Mai"
"06 - June","06 - Juni"
"07 - July","07 - Juli"
"08 - August","08 - August"
"09 - September","09 - September"
"10 - October","10 - Oktober"
"11 - November","11 - November"
"12 - December","12 - Dezember"
"Year","Jahr"
"Name cardholder","Name Karteninhaber"
"Name","Name"
"Security code","CVV / CVC Code"
'Or "CVV" or "CVC". <br/><br/> A 3-digit code located to the right of signature strip on the back of your card, separate from the card number.','Oder "CVV" oder "CVC". <br/> <br/> Ein dreistelliger Code, der sich rechts neben dem Unterschriftenstreifen auf der Rückseite Ihrer Karte befindet, getrennt von der Kartennummer.'
"Card type","Kreditkartentyp"
